Experiment,RNN Type,Attention,Token Type,Embedding,BLEU,METEOR,Best Val Loss,Epochs Trained,Train Time,Inference Time
CHAR_C4,RNN,bahdanau,char,scratch,2.14,9.4183,2.972790628671646,10.0,5427.1s,47.56s
CHAR_C6,RNN,bahdanau,char,scratch,1.9073,10.0736,2.963646827141444,10.0,3820.6s,47.74s
CHAR_A4,GRU,none,char,scratch,1.4652,8.9913,2.949428524573644,8.0,2138.4s,35.38s
CHAR_C5,RNN,luong,char,scratch,1.4159,9.5124,2.9592548926671345,10.0,5492.8s,43.97s
CHAR_A3,GRU,none,char,scratch,1.3918,9.9281,2.969354623556137,8.0,1307.9s,34.16s
CHAR_E1,RNN,bahdanau,char,scratch,1.3022,4.2989,3.0250714858373007,10.0,2618.4s,50.09s
CHAR_C3,RNN,luong,char,scratch,1.2578,9.777,2.9634933332602182,10.0,2742.6s,45.03s
CHAR_D1,RNN,bahdanau,char,scratch,1.2427,10.1739,2.9819558640321095,10.0,2177.5s,47.40s
CHAR_B8,RNN,none,char,scratch,1.1025,9.8497,2.97963947057724,8.0,1105.6s,37.29s
CHAR_A2,RNN,none,char,scratch,1.0809,9.9836,2.9801756223042806,8.0,1106.4s,36.49s
CHAR_B7,RNN,none,char,scratch,1.0703,10.0195,2.980821720759074,8.0,1109.2s,36.93s
CHAR_C2,RNN,none,char,scratch,1.0651,9.7136,2.980769564708074,10.0,1531.5s,37.15s
CHAR_B10,RNN,none,char,scratch,1.056,9.5762,2.975318193435669,8.0,1577.1s,38.70s
CHAR_B9,RNN,none,char,scratch,1.0451,8.9987,2.9770359953244525,8.0,1091.6s,37.03s
CHAR_A6,LSTM,none,char,scratch,0.6007,9.1699,2.977602849404017,8.0,1453.8s,36.68s
CHAR_C1,RNN,none,char,scratch,0.2894,8.5349,2.9915209770202638,10.0,650.2s,32.95s
CHAR_A1,RNN,none,char,scratch,0.2886,8.3108,2.991626089811325,8.0,653.8s,34.04s
CHAR_A5,LSTM,none,char,scratch,0.0795,9.5781,3.0100599428017936,8.0,859.3s,33.39s
CHAR_D2,RNN,bahdanau,char,scratch,0.0068,0.668,3.448234756787618,10.0,529.3s,51.31s
CHAR_PIVOT,PIVOT,pivot,char,n/a,0.0,0.03,,,N/A,N/A
TUNE_CHAR_FINE_6,RNN,bahdanau,char,scratch,,,2.994438991943995,5.0,1690.1s,N/A
TUNE_CHAR_FINE_5,RNN,bahdanau,char,scratch,,,2.993294183413188,5.0,2930.5s,N/A
TUNE_CHAR_FINE_4,RNN,bahdanau,char,scratch,,,3.0197332084178923,5.0,1114.3s,N/A
TUNE_CHAR_FINE_3,RNN,bahdanau,char,scratch,,,3.003937198718389,5.0,559.6s,N/A
TUNE_CHAR_FINE_2,RNN,bahdanau,char,scratch,,,2.995399957895279,5.0,539.5s,N/A
TUNE_CHAR_FINE_1,RNN,bahdanau,char,scratch,,,2.984409781297048,5.0,2736.7s,N/A
TUNE_CHAR_COARSE_12,RNN,none,char,scratch,,,2.9919306576251983,4.0,588.0s,N/A
TUNE_CHAR_COARSE_11,RNN,none,char,scratch,,,2.9917893668015796,4.0,660.1s,N/A
TUNE_CHAR_COARSE_10,RNN,none,char,scratch,,,2.9944203813870747,4.0,428.3s,N/A
TUNE_CHAR_COARSE_9,RNN,none,char,scratch,,,2.9930815656979877,4.0,402.9s,N/A
TUNE_CHAR_COARSE_8,GRU,none,char,scratch,,,2.977063079675039,4.0,526.5s,N/A
TUNE_CHAR_COARSE_7,GRU,none,char,scratch,,,2.9971299787362415,4.0,809.0s,N/A
TUNE_CHAR_COARSE_6,GRU,none,char,scratch,,,2.99694341023763,4.0,513.3s,N/A
TUNE_CHAR_COARSE_5,GRU,none,char,scratch,,,2.998366638024648,4.0,523.0s,N/A
TUNE_CHAR_COARSE_4,LSTM,none,char,scratch,,,2.991661874453227,4.0,1148.1s,N/A
TUNE_CHAR_COARSE_3,LSTM,none,char,scratch,,,3.0126112600167594,4.0,900.5s,N/A
TUNE_CHAR_COARSE_2,LSTM,none,char,scratch,,,2.9881384074687958,4.0,881.7s,N/A
TUNE_CHAR_COARSE_1,LSTM,none,char,scratch,,,3.0053966462612154,4.0,1147.3s,N/A
