Tokenization,Study ID,Architectural Variant,BLEU Score,Metric 2 (METEOR),Train Time,Inference Time
Word-Level,Study A1,Uni-RNN (Embeds: scratch),0.15,0.11,78.1s,1.4ms / sent
Word-Level,Study A2,Bi-RNN (Embeds: scratch),1.76,0.15,258.1s,1.7ms / sent
Word-Level,Study A3,Uni-GRU (Embeds: scratch),3.33,0.18,276.6s,1.4ms / sent
Word-Level,Study A4,Bi-GRU (Embeds: scratch),1.53,0.13,278.7s,1.7ms / sent
Word-Level,Study A5,Uni-LSTM (Embeds: scratch),2.11,0.16,283.3s,1.4ms / sent
Word-Level,Study A6,Bi-LSTM (Embeds: scratch),0.00,0.06,92.2s,1.3ms / sent
Word-Level,Study B1,Uni-GRU (Embeds: scratch),3.76,0.20,261.4s,1.4ms / sent
Word-Level,Study B2,Uni-GRU (Embeds: word2vec),3.84,0.20,250.9s,1.3ms / sent
Word-Level,Study B3,Uni-GRU (Embeds: word2vec),4.02,0.21,266.7s,1.7ms / sent
Word-Level,Study B4,Uni-GRU (Embeds: scratch),3.76,0.20,263.3s,1.3ms / sent
Word-Level,Study B5,Uni-GRU (Embeds: glove),2.12,0.16,257.0s,1.3ms / sent
Word-Level,Study B6,Uni-GRU (Embeds: glove),2.43,0.16,268.2s,1.4ms / sent
Word-Level,Study C1,Uni-GRU (Embeds: word2vec),3.84,0.20,276.7s,1.6ms / sent
Word-Level,Study C2,Uni-GRU (Embeds: word2vec),3.93,0.20,274.1s,1.3ms / sent
Word-Level,Study C3,Uni-GRU (Embeds: word2vec) w/ Luong Attn,6.87,0.27,322.4s,1.5ms / sent
Word-Level,Study C4,Uni-GRU (Embeds: word2vec) w/ Bahdanau Attn,7.95,0.29,330.6s,1.5ms / sent
Word-Level,Study C5,Bi-RNN (Embeds: word2vec) w/ Luong Attn,2.51,0.17,343.4s,1.7ms / sent
Word-Level,Study C6,Bi-RNN (Embeds: word2vec) w/ Bahdanau Attn,8.15,0.29,349.5s,1.6ms / sent
Word-Level,Study D1,Bi-RNN (Embeds: word2vec) w/ Bahdanau Attn,7.43,0.28,355.3s,1.6ms / sent
Word-Level,Study D2,Bi-RNN (Embeds: word2vec) w/ Bahdanau Attn,10.86,0.33,302.4s,1.5ms / sent
Word-Level,Study E1,Bi-RNN (Embeds: word2vec) w/ Bahdanau Attn,10.74,0.34,332.2s,1.5ms / sent
