Experiment,RNN Type,Attention,Token Type,Embedding,BLEU,METEOR,Best Val Loss,Epochs Trained,Train Time,Inference Time
WORD_E1,LSTM,bahdanau,word,scratch,4.317,23.5382,5.333464769216684,10.0,1217.0s,35.93s
WORD_D2,LSTM,bahdanau,word,scratch,3.873,22.1904,5.4328338515083745,10.0,1384.5s,38.67s
WORD_C4,LSTM,bahdanau,word,scratch,3.3476,20.5293,5.523658383567378,10.0,932.1s,38.09s
WORD_C3,LSTM,luong,word,scratch,3.3323,20.4198,5.454623357304987,10.0,1287.5s,35.92s
WORD_D1,LSTM,bahdanau,word,scratch,3.1065,19.5728,5.554683316428706,10.0,1311.8s,43.64s
WORD_C1,LSTM,none,word,scratch,2.1771,16.9333,5.828338218185137,10.0,703.6s,28.93s
WORD_C2,LSTM,none,word,scratch,2.1403,16.6921,5.827703053096555,10.0,712.7s,28.62s
WORD_B4,LSTM,none,word,scratch,1.9483,16.4111,5.9317130052818445,8.0,569.6s,29.59s
WORD_B1,LSTM,none,word,scratch,1.8869,16.2869,5.950429304590765,8.0,557.8s,27.85s
WORD_C6,RNN,bahdanau,word,scratch,1.8668,16.3874,5.915044955487521,10.0,1373.8s,41.24s
WORD_A5,LSTM,none,word,scratch,1.7451,15.5598,6.1370125266740905,8.0,561.6s,28.73s
WORD_B6,LSTM,none,word,glove,1.572,15.349,5.902197082087679,8.0,572.9s,28.88s
WORD_B3,LSTM,none,word,word2vec,1.5658,14.9767,6.193745361184174,8.0,567.8s,28.89s
WORD_B5,LSTM,none,word,glove,1.3919,14.5226,6.194056357977526,8.0,547.5s,29.29s
WORD_B2,LSTM,none,word,word2vec,1.2304,13.8492,6.211436181698206,8.0,554.3s,28.89s
WORD_PIVOT,PIVOT,pivot,word,n/a,1.14,11.63,,,N/A,N/A
WORD_C5,RNN,luong,word,scratch,0.718,11.277,6.271661416539606,10.0,1371.2s,39.92s
WORD_A3,GRU,none,word,scratch,0.6523,14.1691,6.032834313950449,8.0,419.6s,25.90s
WORD_A2,RNN,none,word,scratch,0.1941,9.405,6.533522335988171,8.0,805.1s,23.58s
WORD_A4,GRU,none,word,scratch,0.1411,9.9719,6.33188736213828,8.0,438.8s,26.34s
WORD_A6,LSTM,none,word,scratch,0.0541,7.6534,6.664563637859416,8.0,630.0s,39.17s
WORD_A1,RNN,none,word,scratch,0.0134,3.5657,6.660526860435054,8.0,115.3s,22.98s
TUNE_WORD_FINE_6,LSTM,bahdanau,word,scratch,,,6.6243293240385235,5.0,464.3s,N/A
TUNE_WORD_FINE_5,LSTM,bahdanau,word,scratch,,,6.501015519196132,5.0,448.1s,N/A
TUNE_WORD_FINE_4,LSTM,bahdanau,word,scratch,,,6.2224107688328,5.0,655.7s,N/A
TUNE_WORD_FINE_3,LSTM,bahdanau,word,scratch,,,6.674491477462481,5.0,503.1s,N/A
TUNE_WORD_FINE_2,LSTM,bahdanau,word,scratch,,,6.665017730784866,5.0,185.2s,N/A
TUNE_WORD_FINE_1,LSTM,bahdanau,word,scratch,,,6.073540894490368,5.0,657.9s,N/A
TUNE_WORD_COARSE_9,RNN,none,word,scratch,,,6.681805826582998,2.0,187.8s,N/A
TUNE_WORD_COARSE_8,GRU,none,word,scratch,,,6.351928009177154,4.0,439.7s,N/A
TUNE_WORD_COARSE_12,RNN,none,word,scratch,,,6.679202502628542,4.0,176.6s,N/A
TUNE_WORD_COARSE_11,RNN,none,word,scratch,,,6.653386241984817,4.0,229.6s,N/A
TUNE_WORD_COARSE_10,RNN,none,word,scratch,,,6.683832258548376,4.0,200.4s,N/A
TUNE_WORD_COARSE_7,GRU,none,word,scratch,,,6.652719830566982,4.0,70.9s,N/A
TUNE_WORD_COARSE_6,GRU,none,word,scratch,,,6.472832877680941,4.0,197.0s,N/A
TUNE_WORD_COARSE_5,GRU,none,word,scratch,,,6.613362123381417,4.0,210.9s,N/A
TUNE_WORD_COARSE_4,LSTM,none,word,scratch,,,6.634195786602092,4.0,217.3s,N/A
TUNE_WORD_COARSE_3,LSTM,none,word,scratch,,,6.463021701236941,4.0,284.3s,N/A
TUNE_WORD_COARSE_2,LSTM,none,word,scratch,,,6.56304910047999,4.0,202.3s,N/A
TUNE_WORD_COARSE_1,LSTM,none,word,scratch,,,6.640314039194359,4.0,220.9s,N/A
